airline_name,avg_seat_comfort,avg_cabin_staff_service,avg_food_beverages,avg_ground_service,avg_inflight_entertainment,avg_wifi_connectivity,avg_value_for_money
Aircalin,3.1074370955786614,3.471841785204377,3.300602627257799,1.9761904761904763,2.4761904761904763,1.4047619047619047,3.089701748150065
Aerolineas Argentinas,2.8332861800588978,2.9997287293109833,2.496430344827586,1.96,2.16,1.15,2.64
Martinair,2.6183740008413974,2.8716091163872886,2.5535862068965525,1,2,1,2.1961958421582937
Laudamotion,2.3142857142857145,2.2285714285714286,2.2750088669950745,2.085714285714286,1.8,1,2.4571428571428573
Japan Airlines,3.848551220025241,4.2061482734916185,3.64089448275862,3.84,3.22,2.01,3.73
Tropic Air Belize,2.6,3,1.4214344827586207,2.6,1.8,1,2.8
Aeromar,2.5131526667601554,2.4301787907096983,2.3948429118773946,1.8888888888888888,1.6666666666666667,1,1.5555555555555556
Joon,2.1818181818181817,2.909090909090909,1.9090909090909092,2.6363636363636362,2.909090909090909,1.4545454545454546,2.3636363636363638
Safarilink,3.5,2,2.776793103448276,3.5,2,1,2.5
Cubana Airlines,2.5440634202776575,2.5876310084078016,2.4325062068965484,1.23,1.58,1,2.3331630852748253
Jeju Air,2.1644715454927907,2.8578004143812406,2.120137931034483,2.0454545454545454,1.7727272727272727,1,2.3181818181818183
Kulula,2.320099482788484,2.696734238087383,2.457155375253546,1.388235294117647,1.9058823529411764,1,2.226813204358877
Nature Air,2.7853353754732852,2.865280127967849,2.5535862068965516,1.625,2,1,1.4375
Iberia Express,1.9578531884667683,2.6989805028742566,2.280804597701149,2.1884057971014492,2.072463768115942,1.4782608695652173,2.1739130434782608
TAME,2.195205459982491,2.487757018294802,2.199817334575956,1.1081081081081081,1.7297297297297298,1,1.7234452276298005
Conviasa,2.618374000841397,2.8716091163872877,2.5535862068965516,1,2,1,2.780465957928071
Akasa Air,3.2445783530071686,3.1860085581480226,2.5525273833671407,2.980392156862745,1.9215686274509804,1.2156862745098038,3
Buta Airways,3.290930444537933,2.6524010129319207,2.505954022988506,2.3333333333333335,1.8888888888888888,1,2.4444444444444446
Nouvelair,1.742257294167141,1.8748005362580757,2.0514766734279917,1.9411764705882353,1.7058823529411764,1,2
Air Niugini,2.5007473463641956,2.778063642243219,2.420334217506632,1.9615384615384615,2.25,1.0769230769230769,2.181038052650811
Mann Yadanarpon Airlines,3.5,4,3.5,2.5,2,1,2.5
flybe,3.1545935002103493,3.9679022790968217,3.526793103448276,3.5,2,1,3.25
Super Air Jet,2.2650174289320275,3.087832478451695,2.553586206896551,1.8571428571428572,2.2857142857142856,1.4285714285714286,2
Pan Pacific Airlines,1,1,1,1,2,1,1
Air Transat,2.4165723601177946,2.762025276294219,2.4848268965517217,1.84,2.32,1.37,2.02
SkyWest Airlines,2.6987163164537358,2.951270355042597,2.3754827586206906,1.2894736842105263,1.868421052631579,1,2.5728282479553344
Henan Airlines,2.618374000841397,2.8716091163872877,2.5535862068965516,1,2,1,4
Thai Airways,3.0309187000420703,3.29101263814711,2.930894482758621,2.79,2.57,1.31,2.78
Iberojet,1,1,1,1,1,1,1
Bassaka Air,4.222222222222222,4.444444444444445,4.283731800766284,4.222222222222222,2,1,4.333333333333333
Air North Yukon's Airline,3.6545935002103493,4.217902279096822,4.138396551724138,3.5,2,1,3.25
Vistara,3.7485512200252424,3.9861482734916183,3.624286896551725,3.45,3.1,2.23,3.47
Lufthansa,2.3247349600336555,2.634864364655491,2.184109655172413,2.06,2.05,1.29,1.93
Regional Express,3.1666461153100336,3.600569394325624,3.043726516052316,2.4367816091954024,1.793103448275862,1,3.2078595626412096
Ravn Alaska,2.3333333333333335,2.888888888888889,2.7519923371647512,2,1.7777777777777777,1,2.3333333333333335
Air Mediterranee,2.647349600336559,3.148643646554915,3.22143448275862,1,1.6,1,2.4902329789640354
Aurigny Air,2.7068843554493993,3.0197162941520608,2.568272525027808,1.435483870967742,1.9838709677419355,1,2.8937738506103576
Manta Air,5,5,5,4,2,1,3
Germania Airline,2.7167565263600735,3.2564004798098574,2.7424827586206897,2.3684210526315788,2.6315789473684212,1.0526315789473684,3.263157894736842
Air New Zealand,2.568021140092553,2.7471609116387286,2.568396551724137,2.11,2.43,1.74,1.91
Air Antilles,2.4045935002103493,2.4679022790968217,2.165189655172414,2,1.75,1,2
Bluebird Airways,1.2311962858344854,1.838801302341041,2.553586206896551,1.2857142857142858,2,1,1.2857142857142858
US Airways,2.2061837400084143,2.21,2.012860689655172,1.59,1.67,1.14,1.85
Air Koryo,3.156654630019162,3.3479671835126292,2.92295657726692,1.7407407407407407,2.185185185185185,1,3.291990248561161
Finnair,2.6932861800588976,2.8910126381471093,2.1641096551724126,2.05,2.47,1.46,2.02
Skybus,2.7455826672275983,2.2477394109248583,2.5535862068965516,1,2,1,2.150388298273392
Novoair,3,3.5,3,2,1.5,1,3
AeroItalia,1,3,1,1,2,1,1
FlyArystan,4.088339142977342,4.410229873769612,2.8877635467980296,3.7142857142857144,1.8571428571428572,1,3.857142857142857
Air Iceland Connect,4,4,2.8511954022988504,3.3333333333333335,1.6666666666666667,1.3333333333333333,3.3333333333333335
Jet2.com,3.103286180058898,3.59101263814711,2.832683448275862,3.11,1.8,1.11,3.27
Passion Air,2,2.9572030387957624,2.702390804597701,2,2,1,2.6666666666666665
FLYONE,1.8897967501051744,1.9759267093226163,1.6796939655172411,1.375,1.5625,1,1.3125
Lion Air,1.959469920067312,2.1971609116387287,2.2551896551724107,1.73,1.84,1.03,1.86
Air Panama,2.142857142857143,2.5714285714285716,2.4119950738916254,2.357142857142857,2,1,2.4285714285714284
Olympic Air,3.1134539787660422,3.549981435393745,3.206995921394142,1.8279569892473118,1.8709677419354838,1.053763440860215,3.3655913978494625
Montenegro Airlines,2.7589730531629884,2.7083847050867087,2.565800362976407,1.263157894736842,1.8421052631578947,1,2.874174692555863
Etihad Airways,2.5032861800588972,2.5097287293109822,2.3264303448275854,2.02,2.51,1.59,1.9
Nauru Airlines,4.5,5,4,4.5,1.5,1,4
Air Caraibes,2.2159891670172494,2.404837131828037,2.3787270114942536,1.375,1.9583333333333333,1,2.158527482470029
